id,level,name,type,parent_id
nom_2332,3,TABD - Delivery Table,Mandatory,EHOE - Hospital Equipment
nom_2333,3,TABE - Examination Table,Mandatory,EHOE - Hospital Equipment
nom_2334,3,"TABI - Table, instruments",Mandatory,EHOE - Hospital Equipment
nom_2335,3,TABL - Table,Mandatory,AFUR - Furnitures
nom_2336,3,TABM - Mayo Table,Mandatory,EHOE - Hospital Equipment
nom_2337,3,TABO - Tabbouleh,Mandatory,AFOO - Food For Msf Staff
nom_2338,3,TABO - Table Operating,Mandatory,EHOE - Hospital Equipment
nom_2339,3,TACO - Tablet counter,Mandatory,EMEQ - Medical Equipment
nom_2340,3,TACR - Tablet crusher,Mandatory,EMEQ - Medical Equipment
nom_2341,3,TACT - Container for drugs,Mandatory,EMEQ - Medical Equipment
nom_2342,3,TACU - Tablet cutter,Mandatory,EMEQ - Medical Equipment
nom_2343,3,TALC - Talc,Mandatory,DEXT - Drugs External Use
nom_2344,3,TANK - Water tank,Mandatory,CWAT - Water And Sanitation
nom_2345,3,TANO - Onion water tank,Mandatory,CWAT - Water And Sanitation
nom_2346,3,TAPA - Adhesive tape,Mandatory,ASTA - Stationery
nom_2347,3,"TAPA - Tape, Adhesive",Mandatory,SDRE - Dressings
nom_2348,3,TAPD - Taps and dies,Mandatory,PTOO - Tools
nom_2349,3,TAPE - Adhesive tape,Mandatory,PPAC - Packing And Handling
nom_2350,3,TAPE - Boundary tape,Mandatory,PSAF - Safety And Protective Equipment
nom_2351,3,TAPE - Insulating tape,Mandatory,PELE - Electricity
nom_2352,3,TAPE - Masking tape,Mandatory,PPAI - Paint
nom_2353,3,TAPH - Tap holder,Mandatory,PTOO - Tools
nom_2354,3,TAPL - Tablet planner,Mandatory,EMEQ - Medical Equipment
nom_2355,3,TAPM - Measuring tape,Mandatory,PTOO - Tools
nom_2356,3,"TAPM - Tape, measure",Mandatory,EANT - Anthropometric Equipment
nom_2357,3,TARP - Tarpaulin,Mandatory,CSHE - Shelters
nom_2358,3,TASU - Tape Suspensory,Mandatory,SSUT - Sutures
nom_2359,3,TBCU - Checklist laboratory TB Culture,Mandatory,ILAB - Laboratory checklists
nom_2360,3,TBID - Tuberculosis identification test,Mandatory,DDGT - Diagnostic tests
nom_2361,3,"TBOD - Test, Bowie-Dick",Mandatory,ESTE - Sterilization
nom_2362,3,TEAS - Tea,Mandatory,AFOO - Food For Msf Staff
nom_2363,3,TEAT - Teat,Mandatory,ELAE - Laboratory Equipment
nom_2364,3,TEEF - Tenofovir/Emtricitabine/Efavirenz,Mandatory,DORA - Oral Drugs
nom_2365,3,TEES - Tee-shirt,Mandatory,ALIF - Team Life
nom_2366,3,TEES - Tee-shirt,Mandatory,PIDE - Identification
nom_2367,3,TEFT - Tenofovir/Emtricitabine,Mandatory,DORA - Oral Drugs
nom_2368,3,TELA - Tenofovir/Lamivudine,Mandatory,DORA - Oral Drugs
nom_2369,3,TELE - Tenofovir/Lamivudine/Efavirenz,Mandatory,DORA - Oral Drugs
nom_2370,3,TELF - Fax machine,Mandatory,AOFF - Office Equipment
nom_2371,3,TELF - Telephone,Mandatory,PCOM - Communication
nom_2372,3,TEMP - Temporizer,Mandatory,PELE - Electricity
nom_2373,3,TEND - Dispensary tent,Mandatory,CSHE - Shelters
nom_2374,3,TENF - Family tent,Mandatory,CSHE - Shelters
nom_2375,3,TENH - Hospital tent,Mandatory,CSHE - Shelters
nom_2376,3,TENM - Multipurpose tent,Mandatory,CSHE - Shelters
