"name";"code";"date_from";"date_to";"analytic_account_id.name";"decision_moment";"currency_id.name"
;;;;;;
"Philippines Manila Coordination";"PH coordo";01/01/2011;31/12/2011;"Philippines Manila Coordination";"Initial";"CHF"
"Philippines floods";"PH floods";01/01/2011;31/12/2011;"Philippines floods";"Initial";"CHF"
"Philippines Mindanao advocacy";"PH Minda";01/01/2011;31/12/2011;"Philippines Mindanao advocacy";"Initial";"CHF"
"Kenya Coordination";"KE coordo";01/01/2011;31/12/2011;"Kenya Coordination";"Initial";"CHF"
"Kenya Somali refugee medical support";"KE refugee";01/01/2011;31/12/2011;"Kenya Somali refugee medical support";"Initial";"CHF"
"Kenya Rift valley fever";"KE rift";01/01/2011;31/12/2011;"Kenya Rift valley fever";"Initial";"CHF"
"Kenya Kala azar";"KE KA";01/01/2011;31/12/2011;"Kenya Kala azar";"Initial";"CHF"
"Kenya Riots eldoret";"KE riots";01/01/2011;31/12/2011;"Kenya Riots eldoret";"Initial";"CHF"
