"account_ids.code";"crossovered_budget_line.planned_amount";"crossovered_budget_line.crossovered_budget_id.code"
;;
61250;" 2 286,00 ";"KE coordo"
62500;" 183 846,00 ";"KE coordo"
61800;" 25 044,00 ";"KE coordo"
62501;" 16 961,00 ";"KE coordo"
606015;" 6 300,00 ";"KE coordo"
60603;" 6 029,00 ";"KE coordo"
61450;" 16 447,00 ";"KE coordo"
61999;" 1 178,00 ";"KE coordo"
617000;" 621,00 ";"KE coordo"
61053;" 1 126,00 ";"KE coordo"
