"name";"property_account_income_categ.code";"property_account_expense_categ.code";"family_id.complete_name"
"MENTAL HEALTH";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"SOCIAL ISSUES";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"LOGISTICS";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"DRUGS MANAGEMENT";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"MECHANICS  / TRANSPORT";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"TELECOMMUNICATION";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"BUILDING - SHELTERS";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"HEALTH SERVICES MANAGEMENT";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"EPIDEMIOLOGY - STATISTICS";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"MSF - PUBLICATIONS";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"ANTHROPOLOGY";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"MSF - INTERNAL DOCUMENTS";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"ADMINISTRATION - FINANCES";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"WATER & SANITATION";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"NURSING - INFECTION CONTROL";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"MSF - GENERAL FACTS";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"SECURITY";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"HUMAN RESOURCES MANAGEMENT";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"EMERGENCIES - DISASTERS - CONFLICTS";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"TRAINING - EDUCATION";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"ENERGY";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"SUPPLY";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"FOOD AID";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"CATALOGUES & ORDER LISTS";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"DATA PROCESSING";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"REFUGEES - DISPLACED";6640;6640;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Communication";6302;6302;"LOG / Programm Support / Communication"
"IDENTIFICATION";6331;6331;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Cold chain";6412;6412;"LOG / Programm Support / Cold chain"
"SPARE PARTS HONDA";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Lighting";6530;6530;"LOG / Programm Support / Lighting"
"Spare parts - undefined";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"SPARE PARTS PERKINS";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Packing and handling";6540;6540;"LOG / Programm Support / Packing and handling"
"PAINT";6540;6540;"To Be Defined0 / To Be Defined1 / To Be Defined2"
"Tools";6540;6540;"LOG / Programm Support / Tools"
"HARDWARE";6303;6303;"LOG / Programm Support / HARDWARE"
"SPARE PARTS ROBIN";6720;6720;"LOG / Programm Support / SPARE PARTS ROBIN"
"COOKING";6550;6550;"LOG / Programm Support / COOKING"
"spare parts DAVEY";6720;6720;"To Be Defined0 / To Be Defined1 / To Be Defined2"
