name;type;parent_id.complete_name
Ral 555, Methylene Blue;mandatory;MED/Medical renewable supplies/Laboratory reagents
Turck solution;mandatory;MED/Medical renewable supplies/Laboratory reagents
Medical stationery;mandatory;MED/Medical renewable supplies
Card;mandatory;MED/Medical renewable supplies/Medical stationery
Card, nutrition;mandatory;MED/Medical renewable supplies/Medical stationery
Card, obstetrics;mandatory;MED/Medical renewable supplies/Medical stationery
Medical certificate;mandatory;MED/Medical renewable supplies/Medical stationery
Guide;mandatory;MED/Medical renewable supplies/Medical stationery
Small medical supplies;mandatory;MED/Medical renewable supplies
Bag, Body;mandatory;MED/Medical renewable supplies/Small medical supplies
Bag, Plastic;mandatory;MED/Medical renewable supplies/Small medical supplies
Gloves examination nitrile;mandatory;MED/Medical renewable supplies/Small medical supplies
GLOVES, GYN - UTERINE, latex, disp.,;mandatory;MED/Medical renewable supplies/Small medical supplies
Protective Gloves;mandatory;MED/Medical renewable supplies/Small medical supplies
Transport;mandatory;LOG
Boats;mandatory;LOG/Transport
ALUMINIUM boat;mandatory;LOG/Transport/Boats
DIESEL ENGINE, boat;mandatory;LOG/Transport/Boats
Engine;mandatory;LOG/Transport/Boats
Zodiac;mandatory;LOG/Transport/Boats
LAND ROVER;mandatory;LOG/Transport
110 Diesel;mandatory;LOG/Transport/LAND ROVER
PEUGEOT;mandatory;LOG/Transport
405 Diesel;mandatory;LOG/Transport/PEUGEOT
504 Diesel;mandatory;LOG/Transport/PEUGEOT
Partner M59 Diesel;mandatory;LOG/Transport/PEUGEOT
Toyota vehicles;mandatory;LOG/Transport
Corolla Petrol;mandatory;LOG/Transport/Toyota vehicles
Dyna, Diesel;mandatory;LOG/Transport/Toyota vehicles
Hzj75 Diesel;mandatory;LOG/Transport/Toyota vehicles
HZJ78 Diesel;mandatory;LOG/Transport/Toyota vehicles
Hilux Diesel;mandatory;LOG/Transport/Toyota vehicles
Pzj75 Diesel;mandatory;LOG/Transport/Toyota vehicles
Vehicles accessories;mandatory;LOG/Transport
SOFT TOOL BAG;mandatory;LOG/Transport/Vehicles accessories
Belt;mandatory;LOG/Transport/Vehicles accessories
Cable, battery;mandatory;LOG/Transport/Vehicles accessories
Chain;mandatory;LOG/Transport/Vehicles accessories
Clamp;mandatory;LOG/Transport/Vehicles accessories
Funnel;mandatory;LOG/Transport/Vehicles accessories
Gasket;mandatory;LOG/Transport/Vehicles accessories
Pump, air;mandatory;LOG/Transport/Vehicles accessories
Vehicles consumables;mandatory;LOG/Transport
Additive;mandatory;LOG/Transport/Vehicles consumables
Fork fuses for toyota;mandatory;LOG/Transport/Vehicles consumables
Grease;mandatory;LOG/Transport/Vehicles consumables
Oil, Engine;mandatory;LOG/Transport/Vehicles consumables
tyraeall terrain;mandatory;LOG/Transport/Vehicles consumables
Tyre;mandatory;LOG/Transport/Vehicles consumables
Tyre, heavy duty profile;mandatory;LOG/Transport/Vehicles consumables
Tyre, mud profile;mandatory;LOG/Transport/Vehicles consumables
Tyre, sand profile;mandatory;LOG/Transport/Vehicles consumables
VEHICLES MODIFICATIONS;mandatory;LOG/Transport
Fixation set;mandatory;LOG/Transport/VEHICLES MODIFICATIONS
Hardware;mandatory;LOG/Transport/VEHICLES MODIFICATIONS
Reinforcement;mandatory;LOG/Transport/VEHICLES MODIFICATIONS
Support;mandatory;LOG/Transport/VEHICLES MODIFICATIONS
SPARE PARTS TOYOTA;mandatory;LOG/Transport
Absorber, Shock;mandatory;LOG/Transport/SPARE PARTS TOYOTA
Leaf spring;mandatory;LOG/Transport/SPARE PARTS TOYOTA
Injection Pump;mandatory;LOG/Transport/SPARE PARTS TOYOTA
Spare parts Yamaha;mandatory;LOG/Transport
PROPELLER;mandatory;LOG/Transport/Spare parts Yamaha
PETROL PUMP;mandatory;LOG/Transport/Spare parts Yamaha
WATER PUMP TURBINE;mandatory;LOG/Transport/Spare parts Yamaha
SPRING;mandatory;LOG/Transport/Spare parts Yamaha
STARTER;mandatory;LOG/Transport/Spare parts Yamaha
SERVICE;mandatory;
Services;mandatory;SERVICE
Administrative;mandatory;SERVICE/Services
#;mandatory;SERVICE/Services/Administrative
Taxe;mandatory;SERVICE/Services
#;mandatory;SERVICE/Services/Taxe
Transport;mandatory;SERVICE/Services
Other;mandatory;SERVICE/Services/Transport
MIX;mandatory;
KIT;mandatory;MIX
Emergency Kits;mandatory;MIX/KIT
#;mandatory;MIX/KIT/Emergency Kits
Exploration Kits;mandatory;MIX/KIT
#;mandatory;MIX/KIT/Exploration Kits
